111111111	6	1334	1462
111111111	6	1577	1616
111111113	8	3580	3741
111111114	6	1705	1824
111111117	8	671	753
111111122	4	3489	3519
111111122	5	3991	4046
111111124	1	4540	4575
111111124	2	4661	4760
111111131	1	102	109
111111131	1	723	731
111111131	2	823	865
111111131	11	1031	1068
111111131	3	4339	4352
111111131	1	4752	4768
111111131	1	4882	4899
111111132	2	2262	2272
111111132	2	2280	2292
111111132	6	4307	4320
111111132	1	10851	10860
111111132	9	12045	12087
111111133	1	1070	1077
111111133	2	2625	2646
111111134	3	1225	1237
111111135	1	835	844
111111136	7	1874	2026
694327499	1	110	142
694327499	2	3032	3055
694356862	1	86	106
694356862	4	270	311
694356862	5	5363	5430
694811415	5	1013	1112
695833178	3	1040	1093
695833178	5	1992	2104
696246189	3	3236	3277
696264594	14	899	972
696264594	2	1313	1356
696264594	1	6754	6784
696694316	1	3276	3379
696694316	1	4478	4500
696694316	1	7026	7097
696694316	14	9373	9584
696694316	1	11102	11126
697063039	4	1375	1413
697063039	1	1828	1845
697063039	12	1975	2072
697444415	5	2959	3022
697454736	13	8793	8976
697472447	5	3600	3640
697959084	1	128	157
697996062	2	94	108
698018235	11	2132	2410
698018235	1	2723	2730
698092698	2	306	327
698092698	5	353	371
698092698	5	5882	5948
698503276	1	1057	1084
698503276	1	1169	1228
698503276	1	6946	6983
698719689	1	1440	1449
698780559	3	1908	1931
698780559	5	2364	2399
699142854	3	7018	7034
699142854	2	7574	7602
699291100	3	4424	4434
699291100	3	4836	4846
699291100	3	4985	4992
699478811	6	2060	2119
699478811	6	4890	4924
699478811	6	5511	5554
699478811	1	7155	7173
700387229	10	243	259
700461600	4	717	760
700461600	5	1551	1562
700461600	6	3073	3255
700551604	8	2034	2149
700551604	8	3326	3364
700551604	1	3383	3403
700551604	1	4686	4698
700551604	8	7694	7798
700551604	7	9219	9324
700662577	1	1217	1227
701225819	6	1493	1605
701225819	2	4720	4739
701299732	6	244	299
701447437	1	50	93
701447437	10	363	376
701447437	4	1423	1442
701553469	8	1983	2143
701837665	8	1829	2008
701837665	1	3510	3534
701837665	8	3824	3883
701837665	1	5821	5840
701837665	8	7529	7666
701837665	13	7727	7747
701837665	2	8115	8155
701837665	5	8453	8556
701837665	13	9331	9372
701837665	1	12031	12047
701837665	7	12381	12476
701933838	6	981	1153
702077434	12	1377	1393
702077434	4	1701	1732
702077783	5	1853	1917
702111021	3	2179	2193
703056647	3	53	61
703056647	3	223	230
703056647	4	239	275
703056647	5	2102	2176
703698295	1	2285	2298
703698295	1	5917	5958
703698295	1	7231	7245
703698295	1	7641	7660
703698295	1	7719	7741
703698295	11	9765	9961
703821117	7	472	532
703821117	2	2475	2523
703821117	13	10860	10997
703821117	3	12149	12243
703821117	1	13316	13369
703821117	1	14142	14158
703821117	7	14419	14458
703821117	8	14511	14640
703821117	1	16195	16231
703821117	14	18275	18323
703821117	4	18378	18396
704591553	1	933	954
704591553	6	1999	2059
704591553	9	2765	2780
704591553	2	3883	3911
704591553	4	4058	4124
704591553	2	4064	4103
705035735	10	1035	1063
705409419	2	2058	2114
706088110	3	3279	3292
706088110	11	3513	3590
706501640	3	237	288
706501640	1	1321	1331
706501640	1	1527	1544
706501640	6	1689	1714
706600938	1	1429	1550
706600938	1	2792	2881
706600938	12	7698	7726
706661242	2	1316	1341
706777811	3	3494	3620
707451080	7	3987	4075
707451080	4	5166	5219
